id,title,revenue,vote_average,imdb_id,original_title,overview,popularity,poster_path,genres,keywords
762509,Mufasa: The Lion King,688700870,7.447,tt13186482,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",724.285,/9bXHaLlsFYpJUutg4E6WXAjaxDi.jpg,"Adventure, Family, Animation","friendship, paradise, lion, musical, prequel, jungle, told in flashback, betrayal by friend, chance meeting, live action remake, found family, lost, sympathetic"
1126166,Flight Risk,40420193,5.839,tt10078772,Flight Risk,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",547.303,/4cR3hImKd78dSs652PAkSAyJ5Cx.jpg,"Action, Thriller, Crime","airplane, pilot, flight, airplane accident, amused"
950396,The Gorge,0,7.807,tt13654226,The Gorge,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",897.524,/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,"Romance, Science Fiction, Thriller","canyon, fog, romance, tower, elite sniper, snipers, long-term observation"
1241982,Moana 2,1044396565,7.2,tt13622970,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",496.021,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,"Animation, Adventure, Family, Comedy","sea, ocean, villain, musical, sequel, duringcreditsstinger"
822119,Captain America: Brave New World,289405738,6.175,tt14513804,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",344.759,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,"Action, Thriller, Science Fiction","hero, superhero, revenge, aftercreditsstinger, marvel cinematic universe (mcu), sidekick, assassination attempt, political thriller, treaty, international relations"
1160956,Panda Plan,42333207,7.2,tt28630624,熊猫计划,"International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.",285.236,/xVS9XiO9upp2SnWx6KpBYb79hLR.jpg,"Action, Comedy","assistant, zoo, panda, superstar, rescue operation, cliché, international superstar"
1084199,Companion,33200775,7.1,tt26584495,Companion,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",264.864,/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg,"Science Fiction, Thriller","artificial intelligence (a.i.), cabin, robot, boyfriend girlfriend relationship, robot girl, weekend getaway, human android relationship, toxic relationship, incel, toxic masculinity, abusive relationship, malfunctioning android, white privilege, sentient machine, sinister, sci-fi horror, human vs machines, cybernetics, android horror"
939243,Sonic the Hedgehog 3,472518457,7.763,tt18259086,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",427.441,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,"Action, Science Fiction, Comedy, Family, Animation","moon, sequel, based on video game, burlesque, dual role, aftercreditsstinger, duringcreditsstinger, hedgehog, live action and animation, grandfather grandson relationship, animal human friendship, anthropomorphic animal, loss and grief, amused, cliché, complicated, sceptical, sonic cinematic universe, sonic adventure 2"
539972,Kraven the Hunter,59184643,6.689,tt8790086,Kraven the Hunter,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",225.145,/nrlfJoxP1EkBVE9pU62L287Jl4D.jpg,"Action, Adventure, Thriller","hunter, superhero, villain, based on comic, supervillain, antihero, intense"
1247019,Death Whisperer 2,4210676,7.1,tt31513578,ธี่หยด 2,"Three years after his sister's death, Yak relentlessly searches for the dark spirit that killed her in hopes of seeking revenge.",166.811,/uDW5eeFUYp1vaU2ymEdVBG6g7iq.jpg,"Horror, Thriller, Action",exorcism
