id,title,revenue,vote_average,imdb_id,original_title,overview,popularity,poster_path,genres,keywords,release_date
1268976,A Lista,0,7.0,tt32090655,A Lista,"Laurita, a retired woman from Copacabana, is forced to establish contact with a neighbor, Amanda. The meeting between the two awakens a whirlwind of feelings, memories and discoveries that will mark their lives forever.",3.51,/fHvjzhNOV21F4x4a4KQLquzKwQx.jpg,"Drama, TV Movie","sentimental, adoring, amused, familiar, joyful",2025-02-17
1142913,The Baby in the Basket,0,6.0,tt26594761,The Baby in the Basket,"In 1940s, the nuns of a remote Scottish island convent ready for an impending storm, but when a baby is left on their doorstep, Sister Agnes becomes convinced he is the Devil and wants to kill the child. After Agnes is locked away a grim series of events ensue as the storm rages, and as her Sisters begin to question faith and reality, Sister Eleanor must try to repent and survive the dark events at St Augustine’s.",3.769,/jTEdDZFxbVEZJ0XMbKPCjPPyKtL.jpg,Horror,,2025-02-17
1435489,Mike and Dave and Ingrid Goes West,0,9.0,tt35793026,Mike and Dave and Ingrid Goes West,"Alex, Rodda and Sean return for more silliness. This time, with a film society in tow in the sequel to the award winning Mike & Dave Need Quinnie Dates!",3.049,/mI44RgfgC2dZ8Y5EsLCqzsy7kSQ.jpg,"Documentary, Comedy",mike and dave's 2,2025-02-16
1435431,bird5.mp4,0,10.0,,bird5.mp4,The nature of bird and man.,3.051,/9BBUC0wtOOPuB37elLtBMNaDIy0.jpg,Thriller,"man, worm, woods, nature, smoke, man against nature, birds, shitpost, experimental, sky, thriller",2025-02-16
1435243,La voz contra el silencio,0,7.0,,La voz contra el silencio,,2.71,/vXZl6dk3tR367L2SApwJJILCHhV.jpg,"Documentary, Drama",despoblación,2025-02-16
1247002,The Old Woman with the Knife,0,5.0,tt34509472,파과,"Hornclaw, a legendary assassin in her 60s, specialises in eliminating the scum of the earth. She has learned to accept loss but finds new meaning in her mundane yet bloody life when she meets Bullfight, a promising young killer who wants to work with her.",3.1,/wbmxnsv41vsg5UEaNDlf203dOWw.jpg,"Action, Mystery, Drama",based on novel or book,2025-02-16
1212934,Olmo,0,7.0,tt30441926,Olmo,"1979, New Mexico, USA. Olmo is stuck. Today is his turn to take care of his sick father even though he is only 14-years-old and would much rather be hanging out with his best friend, Miguel. But when Olmo gets invited to a party by his beautiful neighbour Nina, he will do whatever he can to get out of his duties, embarking on a journey of mischief and chaos. As the night unfolds, he may come to love the very place from which he has spent so long trying to escape: his home.",3.086,/xgUBNrRnUS0kwh501xhLDHQxHld.jpg,Drama,"coming of age, house party, teenage boy, 1980s, multiple sclerosis",2025-02-16
1435160,The Snake-Short Horror Film,0,10.0,,The Snake-Short Horror Film,"A Boy,Ted,Shows His “Friends”his dvd collection and picks out a dvd at random to watch,he instead decides to show them the opening of ghost ship.but,as we see,his friends aren’t actually around and he’s imagined them there with him,while he stares at his rubber snake,a stress reliever toy for ted,the snake bites ted in the face,killing him.When his “brother”(not actually but likes to think of him like that)Gangsta Beau Turns Up Unexpectedly, he examines the blood and tells the tale to the unseen coroner of the drama both men have been through such as Ted Selling Beau off to the police after a botched armed robbery job went wrong,Beau Framing Ted With Drugs,Ted and Beau getting into a Physical Altercation that almost ends badly,and finally,Beau Selling Ted To The Police Because Ted tried killing Beau.Beau Then Shoots The Killer,The Snake,but it ends up not doing much and the snake wraps around beaus neck,strangling him.",2.709,,"Horror, Drama","snake, psychological stress, guilty, curious, aggressive",2025-02-15
1434958,Gula Blend - The Movie,0,10.0,,Gula Blend - The Movie,,2.709,/g9YcSxvfoBBJUgWa97uUikVGKu9.jpg,Music,,2025-02-15
1434889,THE LARNE-ING,0,10.0,,THE LARNE-ING,"A terrifying tale of horror set in the worst town in Northern Ireland. Edited together from ""The Shining"" (1980) and drone footage of Larne, THE LARNE-ING tells the story of a family haunted by an evil, and incredibly smug presence.",2.715,/skAW5DzVuO7BqgOV2iPoYBDeQIj.jpg,Horror,horror,2025-02-15
