,Unnamed: 0,id,title,revenue,vote_average,imdb_id,original_title,overview,popularity,poster_path,genres,keywords
501,501,424,Schindler's List,321365567,8.573,tt0108052,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,65.084,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,"Drama, History, War","factory, hero, based on novel or book, nazi, concentration camp, ss (nazi schutzstaffel), holocaust (shoah), world war ii, ghetto, jew persecution, kraków, poland, defense industry, auschwitz-birkenau concentration camp, biography, based on true story, industrialist, historical fiction, black and white, train, poland, weapons manufacturer, absurd"
424,424,372058,Your Name.,357986087,8.514,tt5311514,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",68.999,/q719jXXEzOoYaps6babgKnONONX.jpg,"Romance, Animation, Drama","race against time, afterlife, natural disaster, supernatural, time travel, comet, romance, tragedy, school, body-swap, nonlinear timeline, star crossed lovers, anime, dreams"
48,48,155,The Dark Knight,1004558444,8.512,tt0468569,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",130.643,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,"Drama, Action, Crime, Thriller","joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir"
152,152,13,Forrest Gump,677387716,8.477,tt0109830,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",92.693,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,"Comedy, Drama, Romance","vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, china, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, single mother, military, anti war protest, 1960s, college american football, mother son relationship, loving, feel-good"
32,32,122,The Lord of the Rings: The Return of the King,1118888979,8.474,tt0167260,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",99.276,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,"Adventure, Fantasy, Action","based on novel or book, orcs, elves, dwarf, bravery, suspicion, volcano, addiction, honor, royalty, troll, brutality, ghost, wizard, quest, live action and animation, sword and sorcery"
150,150,569094,Spider-Man: Across the Spider-Verse,683241751,8.442,tt9362722,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",512.336,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,"Animation, Action, Adventure","new york city, sacrifice, superhero, comic book, based on comic, sequel, romance, alternate dimension, india, alternate version, super power, brooklyn, new york city, superhero team, spider bite, super villain, cliffhanger, teen superhero, chelsea, alternate universe, teen romance, female superhero, slow burn romance, interdimensional travel, defying fate"
144,144,157336,Interstellar,701729206,8.417,tt0816692,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,140.241,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,"Adventure, Drama, Science Fiction","rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, curious, space adventure, time paradox, thoughtful, time-manipulation, father daughter relationship, 2060s, cornfield, time manipulation, complicated"
384,384,324857,Spider-Man: Into the Spider-Verse,375464627,8.404,tt4633694,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",80.675,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,"Action, Adventure, Animation, Science Fiction","superhero, based on comic, aftercreditsstinger, alternate universe"
82,82,120,The Lord of the Rings: The Fellowship of the Ring,871368364,8.402,tt0120737,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",87.037,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,"Adventure, Fantasy, Action","based on novel or book, orcs, elves, dwarf, magic, loss of loved one, river, fireworks, mine, maze, mountain, new zealand, castle, volcano, birthday party, addiction, uncle, fugitive, battle, death, blizzard, wizard, journey, ring, live action and animation, sword and sorcery, nz"
218,218,1891,The Empire Strikes Back,538400000,8.4,tt0080684,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",35.265,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,"Adventure, Action, Science Fiction","rebellion, android, spacecraft, asteroid, rebel, space battle, snowstorm, space colony, swamp, space opera, artic"
66,66,121,The Lord of the Rings: The Two Towers,926287400,8.385,tt0167261,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",78.73,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,"Adventure, Fantasy, Action","mission, army, based on novel or book, funeral, orcs, elves, dwarf, explosive, fort, cave, siege, addiction, attack, dragon, guide, death, split personality, wizard, ring, live action and animation, sword and sorcery"
487,487,807,Se7en,327311859,8.368,tt0114369,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",53.521,/6yoghtyTpznpBik8EngEmJskVUO.jpg,"Crime, Mystery, Thriller","drug dealer, rage and hate, police, s.w.a.t., sadism, self-fulfilling prophecy, psychopath, detective, rain, investigation, pension, evisceration, pride and vanity, immoderateness, insomnia, murder, serial killer, religion, seven deadly sins, depravity, neo-noir"
94,94,27205,Inception,825532764,8.364,tt1375666,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",83.952,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,"Action, Science Fiction, Adventure","rescue, mission, dream, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious"
375,375,105,Back to the Future,381109762,8.314,tt0088763,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",62.543,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,"Adventure, Comedy, Science Fiction","flying car, race against time, clock tower, car race, lightning, guitar, plutonium, inventor, journey in the past, invention, time travel, bullying, mad scientist, fish out of water, terrorism, teenage love, destiny, hidden identity, love and romance, teenage life, changing the past or future, 1950s, tiempo, amused"
317,317,77338,The Intouchables,426588510,8.277,tt1675434,Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,41.656,/323BP0itpxTsO0skTwdnVmf7YC9.jpg,"Drama, Comedy","friendship, male friendship, based on true story, masseuse, aristocrat, paragliding, interracial friendship, unlikely friendship, duringcreditsstinger, quadriplegic, quadriplegia, loving, feel good, intouchables"
